Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indicator,School Enrollment In Primary (% net),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,7/25/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Countries,264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.8287735,98.08634949,94.53929138,95.31813812,93.93070221,94.6348877,97.80506134,98.63839722,98.86144257,99.05831909,95.89151001,98.9197464,,,,99.23471069,,,
Afghanistan,,,,,,,,,,,,,,,27.09341049,,,,,,,,,,,,,,,,,,,28.17120934,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,43.30982971,40.1814003,,,,,,,,,,,,,,,45.04853821,,,,,,,,,,74.8936615,74.14881134,75.28183746,77.45057678,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.2820282,95.85974884,94.32698822,,92.11882782,91.31787872,,,,87.15116119,85.7095871,86.2733078,87.18679047,90.46510315,94.00521851,95.7547226,95.19960022,95.06308746,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,,,,,,,,,,,56.04848099,56.09309006,57.37300873,58.41043091,59.0692482,60.33124161,61.83819962,62.63460922,63.25888062,64.81773376,65.9154129,66.292099,66.75005341,67.40731049,68.63065338,69.19698334,70.16288757,71.29733276,71.97641754,72.00302124,72.38639832,72.9953537,70.41499329,70.8119278,72.9295578,72.02658844,74.02124786,74.43045807,74.51444244,75.39248657,76.18419647,77.64002991,78.81617737,79.47530365,80.23072052,80.67942047,81.17455292,82.61100006,83.49034882,83.72051239,84.78603363,84.30619049,84.79219818,83.32884979,82.73033142,83.08792877,83.08635712,
United Arab Emirates,,,,,,,,,,,,,,,,,,,78.50348663,,74.88394928,71.94586182,76.83513641,72.33854675,72.19296265,71.88117218,72.6618576,83.51203918,86.89585876,91.63600159,95.5618515,96.16816711,92.8031311,89.32138062,87.35839844,87.85948181,85.09288025,81.59346008,78.68792725,,,,,,,,,86.62152863,,81.13944244,83.89338684,84.74687195,87.84117126,87.02748871,89.856987,93.38942719,94.59490204,
Argentina,,,,,,,,,,,94.97296906,,,,96.61270905,96.38581848,,,,,,,,,,,,94.54154968,,,,96.25483704,,,,,,100,99.51950836,99.28890228,99.11937714,,,98.99137878,98.63877869,98.81156158,98.80419922,99.06330872,99.04946136,99.02026367,98.66729736,98.84487915,98.9706192,99.02362061,99.34671021,99.39359283,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.49047852,82.67716217,,81.05196381,83.44941711,87.87271118,,,,,,,,92.47296906,92.07025146,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.35920715,84.09674072,82.91790771,80.33760071,79.130867,77.29395294,,76.03520203,78.57763672,,
