Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indicator,School Enrollment In Secondary (% net),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,6/28/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Countries,264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.81520844,76.83174896,72.41274261,76.80750275,72.36006927,73.44490814,75.12471008,,80.52761841,74.48249054,77.72431946,,76.94634247,,,,,,
Afghanistan,,,,,,,,,,,,,,,8.438819885,,,,,,,,,,,,,,,,,,,15.29794025,,,,,,,,,,,,,,27.37545967,,,,,,47.50445175,47.31282043,47.37321091,,49.5558815
Angola,,,,,,,,,,,,,3.974809885,,,,,,,,,,6.565229893,,,,,,,,,,,,,,,,,,,,,,,,,,9.243749619,9.721619606,11.38973045,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.02140808,68.7576828,,,,,,,,,,,,83.97824097,85.19194031,85.90426636,85.81806183,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,,,,,,,,,,,21.13558006,21.0642395,21.53977013,22.83592987,23.3066597,24.57695961,26.03372002,27.88838959,29.6831398,31.09303093,32.19031143,32.64731979,34.11140823,35.23300934,36.46820068,37.88816833,39.6552887,40.7603302,41.24721146,41.91585922,44.37697983,44.52339172,43.57548904,44.1819191,45.97079086,46.10631943,46.24515915,47.4921608,48.92375946,50.39168167,51.67245865,52.86476898,53.64606857,55.34994125,57.14550018,57.25289154,57.17055893,57.07865906,58.29983139,60.53853989,61.01625824,62.77457047,62.91259003,61.24243164,61.57221985,61.90629959,62.30635834,
United Arab Emirates,,,,,,,,,,,,,,,,,,,26.20265007,,36.54188919,,,,,,,,,,,56.83271027,59.26491928,63.10639954,68.2201004,71.78233337,,69.47756195,69.18158722,,,,,,,,,,,,,,,,,,87.48941803,
Argentina,,,,,,,,,,,,,,,40.23714828,41.72663879,,,,,,,,,,,,,,,,,,,,,,,74.56640625,76.60349274,78.96793365,79.45393372,79.36179352,79.16766357,79.35929871,78.98123169,79.10942078,79.20078278,80.34958649,82.4092865,83.99652863,85.22454834,87.32116699,88.16169739,88.24636078,88.54679108,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.53279877,88.92706299,91.63130188,86.10517883,92.32048035,,,,,,,,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.1866188,,,,,,,,,81.23883057,80.04476166,,83.93685913,,72.92317963,74.38641357,,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.88789368,86.86432648,87.02171326,88.6771698,,,,,,,,,,,,,,,,,,,93.81920624,93.27581024,
Austria,,,,,,,,,,,,68.60957336,68.57247925,,68.16385651,70.1710434,70.52792358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,,,,,,,,,,,,,,,,,2.07701993,2.103189945,,,2.181360006,,2.562930107,2.400719881,2.486089945,2.705909967,2.938829899,3.254679918,,,,,,5.175549984,,,,,,,,,,,,,,,,13.50032997,15.59208965,17.28616905,18.79482079,21.78470039,26.38941002,29.39362907,32.78147125,
Belgium,,,,,,,,,,,,,,,,,,78.01196289,,,,,,,,,,,,,,,,95.98406219,97.9703598,99.04244232,97.67063904,,,93.58056641,93.23441315,94.11792755,94.64411163,96.34793854,97.69043732,97.54727936,97.98709869,96.3585434,94.63301849,93.46627808,92.69004059,92.56494904,93.1571579,93.64263153,93.83280945,93.65106964,,
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.4435997,18.88048935,,,,,,,,,,,,43.42818832,,46.58097076,,
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,2.467560053,,2.993550062,3.509639978,,,5.273439884,,,6.674779892,6.860899925,6.865240097,,,,,8.638310432,,7.980130196,,9.487210274,10.55512047,11.39513969,12.21039963,12.92051983,14.77299976,15.82199955,16.48295021,18.46051979,19.74493027,21.66189957,,26.53383064,28.10485077,
Bangladesh,,,,,,,,,,,,,,,,,16.14899063,14.1716404,,,,15.57794952,,18.88513947,,,,19.12021065,,,,,,,,,,,40.46717072,43.50305939,44.8133812,46.055439,47.16780853,46.96184158,43.75416183,42.49755096,43.16714096,43.97517014,,44.90227127,46.16508865,45.80384064,48.07968903,52.51005936,,57.1414299,62.99613953,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.3650589,84.30056763,84.48400116,85.23214722,86.45747375,87.28327942,87.63812256,84.92356873,85.79469299,85.90487671,85.11177063,84.92378235,84.19065857,83.42115021,83.93376923,85.7087326,86.69788361,90.01690674,91.03623199,91.29373932,90.30648041,
Bahrain,,,,,,,,,,,,,,,,,,44.49663925,47.30355072,50.78448105,,,58.75061035,69.90670013,67.10597229,72.62329865,76.82984924,73.83914185,,75.80844116,,,84.70330811,,90.47582245,91.90457916,,85.39811707,85.41438293,84.76686859,88.14956665,88.95519257,86.03663635,85.76261139,86.78015137,87.79237366,88.17640686,,84.73708344,85.12613678,86.12078857,87.5395813,84.04736328,85.32917023,88.25039673,91.06684875,93.07504272,
"Bahamas, The",,,,,,,,,,,,,,,,,,,,,,90.39388275,,,90.44068146,,,,,,,,89.13072205,89.39505768,85.7699585,,,,,70.83905029,,,,,79.61817169,82.89832306,84.92214966,87.28192139,86.13712311,84.02062225,82.68759918,,,,,,82.10428619,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.34072113,94.61457062,95.69297791,96.68357849,97.36811066,97.90852356,97.20477295,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.26541901,58.58224869,60.15393829,,68.07894135,,65.04902649,64.77519226,64.21734619,63.41598129,63.74814987,63.68798828,65.40975952,67.51274109,69.20812988,69.32900238,69.51743317,72.22128296,
Bermuda,,,,,,,,,,,,,,,,,,,64.90171814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.21239853,73.19642639,,,,,,
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.81584167,63.9675293,68.6384201,71.5322876,73.90509796,74.66175842,74.24642944,73.5316391,72.58013153,73.28939056,73.19915771,72.79483795,74.00775909,75.72821808,76.53585815,77.58306122,77.98679352,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.18170166,,78.79924011,,77.95810699,78.5286026,81.88464355,82.82907867,81.34937286,,
Barbados,,,,,,,,,,,,,,,,,,,80.43386078,,,84.58808136,82.89977264,82.89576721,83.93737793,87.79046631,,,,81.82160187,78.8754425,,,,,,,,,94.89491272,91.89881897,86.51718903,87.65247345,89.51264191,93.06996155,92.20516205,91.75424957,92.13374329,88.23348236,84.40657043,85.17822266,88.81581879,,,99.43952942,98.6275177,96.45767212,
Brunei Darussalam,,,,,,,,,,,,,,,,,,49.52033997,49.23324966,50.25257111,51.61957169,50.98852158,52.3596611,54.22177124,51.36220932,,,,,,,67.87056732,64.05771637,65.11096954,66.4384079,,,,,,,,,,,88.26248169,89.37082672,87.73693085,87.60569763,89.18505096,90.15632629,90.98911285,92.97257233,90.84732819,86.87595367,84.54721069,83.19064331,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.24892998,19.93888092,22.13499069,23.92033005,,,,33.57332993,36.42177963,,43.75429916,45.7000618,50.10702133,51.38492966,54.55620956,57.44858932,60.8965683,62.87234879,63.50634003,
Botswana,,,,,,,,,,,,5.681300163,6.374110222,7.710130215,8.704000473,10.11277008,11.33246994,12.27787018,12.22111034,12.28551006,14.05877018,15.20242023,,,18.84724998,21.62693024,23.04194069,,,27.88430023,30.96364975,38.3225708,38.35551071,41.39397812,40.44760132,40.01816177,,,57.7478714,53.07062149,55.99332047,,55.54727173,57.44306946,,,,,,,,,,,,,,
Central African Republic,,,,,,,,,,,,3.96807003,4.729629993,5.317530155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.41685963,,13.85552979,13.70353031,,,,,
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.69728088,,,,,,,,,,,,,,,,,,92.30924988,91.76743317,91.35083771,92.85788727,99.65135193,
Central Europe and the Baltics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.02140808,80.86917114,81.53687286,81.20928955,82.4056015,83.64491272,85.05200958,86.12995148,86.63285828,86.48681641,87.62255859,87.74163818,88.16609192,88.77423096,88.77049255,88.86125183,88.70800781,88.59030914,89.34017181,89.04894257,89.16642761,88.70366669,
Switzerland,,,,,,,,,,,,,,,,,,,,,,78.63201141,78.42899323,78.14102936,78.03125,77.9022522,77.45893097,77.05738831,76.97422028,76.64666748,77.17011261,77.98455811,78.73538971,79.83180237,80.88630676,,,,,84.35649872,84.37017822,83.84098053,83.06111145,83.03774261,83.65493011,84.39144135,84.89185333,84.5327301,84.21842194,83.33892822,83.39586639,82.92617035,80.90705872,83.29515076,84.22834015,84.88671112,85.59764862,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.93959808,89.13355255,86.73594666,87.43486023,86.93431854,85.19007111,87.50296783,87.43065643,87.31101227,87.08995819,
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.70525932,,35.49985123,
Cameroon,,,,,,,,,,,,6.911799908,7.71216011,8.543640137,9.167599678,10.21347046,11.17971039,12.11956978,13.23488045,13.88706017,14.39937019,15.25382042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.75920868,42.15879822,45.18888092,46.28376007,47.30033875,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.48538017,17.6157093,18.29841042,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",,,,,,,,,,,,,17.13628006,,27.87668991,,35.89677048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.06720734,68.90558624,72.29792786,73.89688873,77.22238159,78.76177979,80.94200897,79.19358063,79.64356232,78.58580017,78.29431152,78.71360016,
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.41592026,44.76850128,,,
Cabo Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.483160019,,,,,,,23.84284973,,,,,,,,56.59532166,57.08269882,56.71260071,60.30475998,61.10005951,63.22124863,,65.70176697,65.19835663,,65.79257965,65.31555176,64.48538971,64.60050964,64.62145233,
Costa Rica,,,,,,,,,,,22.72608948,,,31.31040001,34.45676041,34.56816864,35.0087204,,,37.9973793,,38.68592834,37.11373901,,,34.35747147,35.18041992,36.07046127,,36.67070007,37.52983856,38.01551056,40.4068985,41.24214935,43.14664078,43.26520157,42.84384918,,,,,,,,,,,,,,,75.85700226,75.96859741,77.12326813,78.12175751,80.5242691,82.74098969,
Caribbean small states,,,,,,,,,,,,,,,47.87071991,52.96889877,54.85300064,55.9117012,57.27206039,58.47822952,60.96292114,58.90061188,58.75941849,59.28625107,59.06090164,60.44559097,60.76367188,61.76395035,63.32183838,62.75706863,63.8168602,65.09014893,65.15326691,64.16230011,65.96217346,67.61058044,69.24762726,70.82990265,71.7420578,73.09075928,72.6149292,73.40888214,73.63014984,73.12261963,75.16815186,74.57453156,74.66525269,75.02107239,75.1206131,74.96346283,74.6368866,75.32543945,74.17823029,73.62203217,73.71748352,73.74291992,74.5090332,
Cuba,,,,,,,,,,,,,19.84129906,21.79818916,25.82842064,,,,,59.28776932,,,,,,,67.66937256,67.19400787,67.93359375,69.38258362,69.4526825,69.42015076,67.4210434,,60.42790985,,,,,76.06948853,80.85852051,82.75010681,83.05207062,85.38952637,85.02561188,85.94230652,87.03256226,86.31156158,85.45211029,83.97969055,87.17501831,87.8451004,87.25836945,88.49685669,86.89659882,85.69486237,,
Curacao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,,,,,,,,,,,,51.22539902,53.41495132,57.92110825,60.63436127,58.58966064,63.06108856,63.54256821,61.74716187,61.92533112,62.14519882,62.03097153,60.88113022,60.9128685,,,,,,,,,,,89.53134155,89.54795074,89.61305237,89.00554657,,87.81233978,88.04640198,88.30934143,91.67273712,92.80422974,93.00759125,94.10166168,94.05908203,95.09996033,95.80445099,95.52999115,88.83383179,89.68341827,91.83178711,93.17237091,94.71498108,94.63237762,,
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,9.093799591,9.364609718,9.962380409,9.360600471,,,,,,,,,11.4409399,,,,14.17160988,14.71378994,,19.27388954,21.25061035,,,25.72418022,,,,,,,35.0136795,,
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.08598328,83.87142944,81.84822845,,87.73487091,89.0650177,88.16771698,76.91340637,,,76.59367371,80.15759277,78.9356308,,,,86.32093048,93.17314911,
Denmark,,,,,,,,,,,,,,,,,,,,,,87.9822998,87.78227997,87.04901123,85.08070374,83.92337799,83.29392242,83.56806946,84.64730072,86.31437683,87.10453796,87.11601257,86.75411224,86.55325317,87.08291626,86.71742249,87.28193665,,87.94819641,,88.6007309,89.47714996,91.05445862,93.92328644,91.19583893,91.57662964,89.38548279,89.25363922,89.33815002,89.83615112,90.13329315,91.17920685,90.22601318,90.11379242,89.44973755,89.40345001,89.88581085,
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.03620911,39.91513824,,50.04756927,,49.12451172,52.24583817,,60.6540184,59.14374161,62.46699905,61.98442841,61.67556,62.48759079,64.22827911,65.45832062,66.0018692,66.54650879,
Algeria,,,,,,,,,,,,9.282360077,,,,,,,,,,,,,38.77880096,,,,,,,,,,,52.24959946,52.75812149,52.61404037,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific (excluding high income),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.5039711,61.79970169,62.54681015,63.42779922,63.36457062,64.57019806,65.83332062,66.56989288,67.27619934,69.08857727,69.00418854,70.21315002,71.98686218,73.91074371,74.34497833,75.38362122,78.49121094,78.78144073,77.85447693,
Early-demographic dividend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.42938995,42.03081131,42.58823013,43.41072083,,43.35525131,44.71763992,45.48757172,46.82009125,48.36809921,49.60953903,50.71575928,52.09233856,53.98228073,55.1552887,55.23377991,56.98804855,59.06164932,60.48867035,61.69316864,62.20077133,62.71244049,63.04822159,
East Asia & Pacific,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.24610138,64.28225708,64.83306122,65.53768158,65.38192749,66.44772339,67.60369873,68.32846832,69.00936127,70.76779938,70.75772858,71.99495697,73.7281189,75.57581329,76.06700897,77.0791626,79.95387268,80.21729279,79.35357666,
Europe & Central Asia (excluding high income),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.34655762,80.87956238,82.57292938,82.43074036,82.74192047,81.61244965,80.29991913,80.90245819,81.63706207,81.75630188,81.58714294,83.41558075,84.93260193,85.46060944,87.00723267,87.65734863,88.55769348,88.74343872,
Europe & Central Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.13523865,83.00772095,82.50299072,82.96642303,84.0562973,85.24591827,85.63221741,86.1004715,85.79263306,85.65418243,85.98899841,86.19199371,86.55947113,86.4973526,87.66246033,88.05751801,88.24221039,89.21833801,89.87165833,90.54620361,90.70916748,
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.35094833,47.35102081,47.88278961,48.58880997,49.88866043,49.8305397,50.60197067,52.97724915,54.43452072,56.07133102,,,73.14935303,75.84503174,79.00244141,81.81520081,83.01271057,85.42063904,87.16287231,88.24941254
"Egypt, Arab Rep.",,,,,,,,,,,,25.94948959,25.68486977,28.38242912,28.21113014,,,,,,,,,,,,,,,,,,,,63.19744873,,,,,,,,,,,,,,,,,,,,79.09207916,,81.49492645,
Euro area,,,,,,,,,,,,,,,,72.55734253,73.36483765,74.41876984,74.89977264,75.31877136,75.93408966,75.94055939,76.27285004,76.73977661,77.09629822,77.69828033,78.86755371,79.43755341,79.58470154,79.84986115,79.94692993,81.01358795,82.48930359,85.10379791,87.74176025,87.88007355,88.11293793,87.73877716,85.66892242,85.79042053,86.32608795,86.72174072,87.75659943,88.44895172,89.68435669,90.92555237,91.42585754,91.03177643,91.64568329,91.60118866,91.90162659,91.44998932,91.54676819,91.11495972,91.2258606,91.50205994,91.6505127,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.38597965,12.25421047,,14.33084011,,17.75959969,19.84223938,19.62268066,20.18523026,20.81336975,22.60977936,24.41680908,26.06864929,26.92984009,28.47982025,30.74155045,33.11135101,33.51720047,34.29206085,31.00513077,30.81142044,27.36063957,,
Spain,,,,,,,,,,,,45.82743835,45.0666008,51.90790939,,57.89553833,61.30968857,64.3718338,66.12033844,68.94219971,72.27484894,73.4234314,,,,,,,,,,,,,,,,,,86.99598694,88.54197693,90.12664795,90.73725891,91.13262177,92.29653168,93.18612671,92.81907654,92.7808075,93.00405884,93.53488159,94.67592621,94.82480621,95.57879639,96.11631775,96.22396088,96.126297,96.26570892,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.75907135,83.95348358,85.07887268,85.77220154,88.40540314,89.47969818,91.47286987,93.41204834,93.78820801,92.905159,91.91042328,91.26040649,90.95348358,91.33161926,91.23291016,91.96717834,92.49759674,93.67085266,,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.92502022,12.43677044,13.15602016,14.93523979,,,,,,,,,,,,30.2155304,30.9552002,,
European Union,,,,,,,,,,,,,,,,73.05735016,73.82894897,74.80220032,75.28746033,75.7514801,76.40725708,76.82237244,77.29456329,77.72041321,77.96777344,78.58763885,79.72444916,80.30246735,80.47373962,80.76313782,80.90055847,81.11319733,81.77001953,84.68736267,86.63652039,86.72540283,87.03733063,86.85427856,85.67591858,86.16699219,86.8079071,87.46243286,88.51155853,89.06372833,89.67854309,90.84249115,90.81285095,90.53146362,91.27445984,91.49053955,91.92523193,91.17411041,90.9799118,91.35707855,91.85694885,92.22180176,92.23626709,
