Data Source,World Development Indicators
Indicator,"Primary completion rate female (% of relevant age group)"
Last Updated Date,2020-07-01
Number of Countries,264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.5,97.12557,100.14577,99.71989,88.14016,88.32685,88.5101,91.85464,97.8233,98.03665,94.00799,97.84076,,,101.25523,101.55587,,,,,,
Afghanistan,,,,,,,,,,,,,,,4.3618,,,5.50816,6.358,,9.05294,12.8376,,,10.74617,10.85997,,,,,,,,14.1204,,,,,,,,,,,,,,,,,,,,,,,64.42105,66.68888,67.1293,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.63104,34.35043,33.91703,33.54657,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.22416,,,,97.50543,97.24937,,95.33894,94.2114,,,97.45506,92.81811,91.4561,88.61092,94.35333,99.58724,88.68979,103.73115,100.38872,102.29765,103.63323,104.65677,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,,,,,,,,,,,36.99917,36.90458,36.70346,38.04315,39.51625,41.83683,43.51669,45.28357,44.23672,41.57291,45.60063,48.84112,50.27496,51.84529,54.27344,58.09186,57.87202,58.28368,59.10164,59.53387,61.11726,61.61247,62.64026,63.13975,64.27771,65.65237,67.02319,68.19076,69.52004,70.78449,70.65801,71.85585,73.18428,75.50472,77.52604,78.25203,76.99776,78.81742,80.15233,79.32712,80.79252,82.02822,84.19005,82.63717,83.47578,83.36474,82.71342,82.6801,83.33913,,
United Arab Emirates,,,,,,,,,,,,,,,33.1729,41.29671,45.37954,53.36914,56.59499,62.90753,67.54074,71.16494,78.1071,78.79328,77.71396,72.79082,77.28397,78.42007,75.67989,81.59208,89.10691,95.52061,94.81907,93.04725,92.44746,90.29076,86.45726,88.54812,86.53864,85.82493,82.17167,78.60257,79.75221,,,,,98.63422,,,,,94.19589,97.33055,100.79582,104.41978,,,,,
Argentina,,,,,,,,,,,74.23158,74.7093,,,,81.2125,81.0347,,,,,,,,,,,,,,,,,,,,94.32851,93.25161,100.60731,97.51628,97.47156,97.09464,100.84929,98.35381,96.72996,94.81124,97.14913,99.95811,103.09781,103.1103,103.14532,103.65785,102.99412,101.17521,102.59039,102.47733,104.33489,99.69321,,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.08288,89.72151,99.18153,93.23462,94.96553,103.48577,106.82256,,96.47327,95.5321,95.65741,,96.51784,95.76216,91.66858,92.53566,89.51942,,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,80.5492,79.39815,,,,,,,,,,,,,,,,82.00637,,,,,,,,,,,,,,,,110.01353,100.93209,104.85564,98.15547,,,101.71184,91.0275,,96.62757,98.9645,,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,,,,,,,,,,,,95.71384,97.68053,97.9356,,,,,,,,,,,,,,,,,,,,,,,,,100.74256,101.14291,,,99.84864,,98.29583,,,,,,,96.20503,97.21525,97.05647,99.00877,99.93681,99.59905,100.0429,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.07943,91.61665,95.12796,85.85389,97.25412,94.49772,91.76932,85.49743,93.9815,100.99123,90.24809,94.8575,89.6128,90.93143,98.49185,89.7156,91.42844,88.97885,92.18356,91.59459,86.54668,97.61052,101.61833,109.72021,107.61838,100.64121,,
